"","Date_Time","Well1","Well2","Well3","Well4","Well5","Well6","Well7","Well8"
"405","2017-10-14",324.784826388889,324.537777777778,325.278854166667,324.63625,324.917256944444,324.727708333333,324.403125,324.742993055556
"406","2017-10-15",324.855034722222,324.596770833333,325.336111111111,324.710659722222,324.9871875,324.794375,324.486041666667,324.823618055556
"407","2017-10-16",324.793090277778,324.542534722222,325.275729166667,324.65125,324.927430555556,324.74625,324.418819444444,324.757576388889
"408","2017-10-17",324.758645833333,324.513680555556,325.245659722222,324.615138888889,324.895381944444,324.711979166667,324.378993055556,324.721256944444
"409","2017-10-18",324.737430555556,324.495555555556,325.226701388889,324.594965277778,324.876770833333,324.691909722222,324.358229166667,324.702402777778
"410","2017-10-19",324.718368055556,324.477152777778,325.208125,324.576944444444,324.858159722222,324.674340277778,324.343472222222,324.685875
"411","2017-10-20",324.701944444444,324.460798611111,325.1928125,324.562291666667,324.845104166667,324.65625,324.327951388889,324.668027777778
"412","2017-10-21",324.687326388889,324.448194444444,325.178368055555,324.547708333333,324.831597222222,324.643020833333,324.316770833333,324.657229166667
"413","2017-10-22",324.672708333333,324.433541666667,325.163611111111,324.5346875,324.816805555556,324.626388888889,324.304583333333,324.645666666667
"414","2017-10-23",324.656388888889,324.418368055556,325.147118055556,324.520034722222,324.804027777778,324.612118055556,324.291631944444,324.633027777778
"415","2017-10-24",324.641076388889,324.404270833333,325.131076388889,324.505763888889,324.786875,324.595763888889,324.277534722222,324.616847222222
"416","2017-10-25",324.62625,324.390972222222,325.118090277778,324.492777777778,324.776944444444,324.581354166667,324.266354166667,324.606986111111
"417","2017-10-26",324.615347222222,324.383263888889,325.107395833333,324.481076388889,324.766736111111,324.568229166667,324.256597222222,324.5968125
"418","2017-10-27",324.6025,324.367013888889,325.092881944444,324.468611111111,324.751006944444,324.556006944444,324.245729166667,324.584833333333
"419","2017-10-28",324.590104166667,324.359930555556,325.080659722222,324.457708333333,324.740902777778,324.543645833333,324.236979166667,324.579
"420","2017-10-29",324.580173611111,324.350520833333,325.075173611111,324.449826388889,324.739513888889,324.532569444444,324.23,324.570423611111
"421","2017-10-30",324.571354166667,324.341770833333,325.064027777778,324.440416666667,324.726770833333,324.523263888889,324.2215625,324.562541666667
"422","2017-10-31",324.559930555556,324.33,325.051493055556,324.430763888889,324.72,324.512673611111,324.213402777778,324.553930555556
"423","2017-11-01",324.550138888889,324.302083333333,325.040416666667,324.419513888889,324.716840277778,324.505590277778,324.199826388889,324.538305555556
"424","2017-11-02",324.545053380783,324.216783216783,325.006596491228,324.405964912281,324.69950877193,324.506654929577,324.177377622378,324.506797202797
"425","2017-11-03",324.534548611111,324.214701754386,325.004385964912,324.287964912281,324.686503496504,324.497298245614,324.179789473684,324.498756944444
"426","2017-11-04",324.520972222222,324.229265734266,325.026631944444,324.047604166667,324.69,324.487534722222,324.1965625,324.489
